rank,freq,zipf
463,14,3.23758
464,14,3.2306
465,14,3.22366
466,14,3.21674
467,14,3.20985
468,14,3.20299
469,14,3.19616
470,14,3.18936
471,14,3.18259
472,14,3.17585
473,14,3.16913
474,14,3.16245
475,14,3.15579
476,14,3.14916
477,14,3.14256
478,14,3.13598
479,14,3.12944
480,14,3.12292
481,14,3.11642
482,14,3.10996
483,14,3.10352
484,14,3.09711
485,14,3.09072
486,14,3.08436
487,14,3.07803
488,14,3.07172
489,14,3.06544
490,14,3.05918
491,14,3.05295
492,14,3.04675
493,14,3.04057
494,14,3.03441
495,14,3.02828
496,14,3.02218
497,14,3.0161
498,14,3.01004
499,14,3.00401
500,14,2.998
501,14,2.99202
502,14,2.98606
503,14,2.98012
504,14,2.97421
505,14,2.96832
506,14,2.96245
507,14,2.95661
508,14,2.95079
509,14,2.94499
510,14,2.93922
511,14,2.93346
512,14,2.92773
513,14,2.92203
514,14,2.91634
515,14,2.91068
516,14,2.90504
517,14,2.89942
518,14,2.89382
519,14,2.88825
520,14,2.88269
521,14,2.87716
522,14,2.87165
523,14,2.86616
524,14,2.86069
525,14,2.85524
526,14,2.84981
527,14,2.8444
528,14,2.83902
529,14,2.83365
530,14,2.8283
531,14,2.82298
532,14,2.81767
533,14,2.81238
534,14,2.80712
535,14,2.80187
536,14,2.79664
537,14,2.79143
538,14,2.78625
539,14,2.78108
540,14,2.77593
541,14,2.77079
542,14,2.76568
543,14,2.76059
544,14,2.75551
545,14,2.75046
546,14,2.74542
547,14,2.7404
548,14,2.7354
549,14,2.73042
550,14,2.72545
551,14,2.72051
552,14,2.71558
553,14,2.71067
554,14,2.70578
555,14,2.7009
556,14,2.69604
557,14,2.6912
558,14,2.68638
559,14,2.68157
560,14,2.67679
561,14,2.67201
562,14,2.66726
563,14,2.66252
564,14,2.6578
565,14,2.6531
566,14,2.64841
567,14,2.64374
568,14,2.63908
569,14,2.63445
570,14,2.62982
571,14,2.62522
572,14,2.62063
573,14,2.61606
574,14,2.6115
575,14,2.60696
576,14,2.60243
577,14,2.59792
578,14,2.59343
579,14,2.58895
580,14,2.58448
581,14,2.58003
582,14,2.5756
583,14,2.57118
584,14,2.56678
585,14,2.56239
586,14,2.55802
587,14,2.55366
588,14,2.54932
589,14,2.54499
590,14,2.54068
591,14,2.53638
592,14,2.53209
593,14,2.52782
594,14,2.52357
595,14,2.51933
596,14,2.5151
597,14,2.51089
598,14,2.50669
599,14,2.5025
600,14,2.49833
601,14,2.49418
602,14,2.49003
603,14,2.4859
604,14,2.48179
605,14,2.47769
606,14,2.4736
607,14,2.46952
608,14,2.46546
609,14,2.46141
610,14,2.45738
611,14,2.45336
612,14,2.44935
613,14,2.44535
614,14,2.44137
615,14,2.4374
616,14,2.43344
617,14,2.4295
618,14,2.42557
619,13,2.42165
620,13,2.41774
621,13,2.41385
622,13,2.40997
623,13,2.4061
624,13,2.40224
625,13,2.3984
626,13,2.39457
627,12,2.39075
628,12,2.38694
629,12,2.38315
630,12,2.37937
631,12,2.37559
632,12,2.37184
633,12,2.36809
634,12,2.36435
635,11,2.36063
636,11,2.35692
637,11,2.35322
638,11,2.34953
639,11,2.34585
640,11,2.34219
641,11,2.33853
642,11,2.33489
643,11,2.33126
644,10,2.32764
645,10,2.32403
646,10,2.32043
647,10,2.31685
648,10,2.31327
649,10,2.30971
650,10,2.30615
651,10,2.30261
652,10,2.29908
653,10,2.29556
654,10,2.29205
655,10,2.28855
656,10,2.28506
657,10,2.28158
658,10,2.27812
659,10,2.27466
660,10,2.27121
661,10,2.26778
662,9,2.26435
663,9,2.26094
664,9,2.25753
665,9,2.25414
666,9,2.25075
667,9,2.24738
668,9,2.24401
669,9,2.24066
670,9,2.23731
671,9,2.23398
672,9,2.23065
673,9,2.22734
674,9,2.22404
675,9,2.22074
676,9,2.21746
677,9,2.21418
678,9,2.21091
679,9,2.20766
680,9,2.20441
681,9,2.20117
682,9,2.19795
683,9,2.19473
684,9,2.19152
685,9,2.18832
686,9,2.18513
687,9,2.18195
688,9,2.17878
689,9,2.17562
690,9,2.17246
691,9,2.16932
692,9,2.16618
693,9,2.16306
694,9,2.15994
695,9,2.15683
696,9,2.15374
697,9,2.15065
698,9,2.14756
699,9,2.14449
700,9,2.14143
701,9,2.13837
702,8,2.13533
703,8,2.13229
704,8,2.12926
705,8,2.12624
706,8,2.12323
707,8,2.12023
