id,url,raw_path,text_path,raw_size_bytes,text_size_bytes,word_count,status_code
19873,https://www.povarenok.ru/recipes/show/19873/,recipes_corpus/povarenok/raw/19873.html,recipes_corpus/povarenok/text/19873.txt,325833,50291,4570,200
19872,https://www.povarenok.ru/recipes/show/19872/,recipes_corpus/povarenok/raw/19872.html,recipes_corpus/povarenok/text/19872.txt,428462,65568,5911,200
19871,https://www.povarenok.ru/recipes/show/19871/,recipes_corpus/povarenok/raw/19871.html,recipes_corpus/povarenok/text/19871.txt,411405,62682,5762,200
19870,https://www.povarenok.ru/recipes/show/19870/,recipes_corpus/povarenok/raw/19870.html,recipes_corpus/povarenok/text/19870.txt,406824,66176,5998,200
19869,https://www.povarenok.ru/recipes/show/19869/,recipes_corpus/povarenok/raw/19869.html,recipes_corpus/povarenok/text/19869.txt,364839,57074,5184,200
19868,https://www.povarenok.ru/recipes/show/19868/,recipes_corpus/povarenok/raw/19868.html,recipes_corpus/povarenok/text/19868.txt,344490,52289,4756,200
19867,https://www.povarenok.ru/recipes/show/19867/,recipes_corpus/povarenok/raw/19867.html,recipes_corpus/povarenok/text/19867.txt,345161,54429,4904,200
19866,https://www.povarenok.ru/recipes/show/19866/,recipes_corpus/povarenok/raw/19866.html,recipes_corpus/povarenok/text/19866.txt,357094,53042,4832,200
19865,https://www.povarenok.ru/recipes/show/19865/,recipes_corpus/povarenok/raw/19865.html,recipes_corpus/povarenok/text/19865.txt,386096,56442,5136,200
19864,https://www.povarenok.ru/recipes/show/19864/,recipes_corpus/povarenok/raw/19864.html,recipes_corpus/povarenok/text/19864.txt,330897,50759,4624,200
19863,https://www.povarenok.ru/recipes/show/19863/,recipes_corpus/povarenok/raw/19863.html,recipes_corpus/povarenok/text/19863.txt,386356,57457,5223,200
19862,https://www.povarenok.ru/recipes/show/19862/,recipes_corpus/povarenok/raw/19862.html,recipes_corpus/povarenok/text/19862.txt,382361,59801,5394,200
19860,https://www.povarenok.ru/recipes/show/19860/,recipes_corpus/povarenok/raw/19860.html,recipes_corpus/povarenok/text/19860.txt,350501,55115,5027,200
19859,https://www.povarenok.ru/recipes/show/19859/,recipes_corpus/povarenok/raw/19859.html,recipes_corpus/povarenok/text/19859.txt,392949,57015,5139,200
19858,https://www.povarenok.ru/recipes/show/19858/,recipes_corpus/povarenok/raw/19858.html,recipes_corpus/povarenok/text/19858.txt,382433,56400,5142,200
19857,https://www.povarenok.ru/recipes/show/19857/,recipes_corpus/povarenok/raw/19857.html,recipes_corpus/povarenok/text/19857.txt,377669,57044,5162,200
19856,https://www.povarenok.ru/recipes/show/19856/,recipes_corpus/povarenok/raw/19856.html,recipes_corpus/povarenok/text/19856.txt,326563,51176,4642,200
19855,https://www.povarenok.ru/recipes/show/19855/,recipes_corpus/povarenok/raw/19855.html,recipes_corpus/povarenok/text/19855.txt,382540,59387,5341,200
19854,https://www.povarenok.ru/recipes/show/19854/,recipes_corpus/povarenok/raw/19854.html,recipes_corpus/povarenok/text/19854.txt,333377,52143,4710,200
19853,https://www.povarenok.ru/recipes/show/19853/,recipes_corpus/povarenok/raw/19853.html,recipes_corpus/povarenok/text/19853.txt,348481,52629,4773,200
19852,https://www.povarenok.ru/recipes/show/19852/,recipes_corpus/povarenok/raw/19852.html,recipes_corpus/povarenok/text/19852.txt,337613,52950,4793,200
19851,https://www.povarenok.ru/recipes/show/19851/,recipes_corpus/povarenok/raw/19851.html,recipes_corpus/povarenok/text/19851.txt,366060,57401,5181,200
19850,https://www.povarenok.ru/recipes/show/19850/,recipes_corpus/povarenok/raw/19850.html,recipes_corpus/povarenok/text/19850.txt,403045,62334,5761,200
19849,https://www.povarenok.ru/recipes/show/19849/,recipes_corpus/povarenok/raw/19849.html,recipes_corpus/povarenok/text/19849.txt,392492,60840,5536,200
19848,https://www.povarenok.ru/recipes/show/19848/,recipes_corpus/povarenok/raw/19848.html,recipes_corpus/povarenok/text/19848.txt,375997,54458,5001,200
19847,https://www.povarenok.ru/recipes/show/19847/,recipes_corpus/povarenok/raw/19847.html,recipes_corpus/povarenok/text/19847.txt,385822,56189,5167,200
19846,https://www.povarenok.ru/recipes/show/19846/,recipes_corpus/povarenok/raw/19846.html,recipes_corpus/povarenok/text/19846.txt,369597,54879,4999,200
19845,https://www.povarenok.ru/recipes/show/19845/,recipes_corpus/povarenok/raw/19845.html,recipes_corpus/povarenok/text/19845.txt,396877,58099,5303,200
19844,https://www.povarenok.ru/recipes/show/19844/,recipes_corpus/povarenok/raw/19844.html,recipes_corpus/povarenok/text/19844.txt,402204,60421,5473,200
19843,https://www.povarenok.ru/recipes/show/19843/,recipes_corpus/povarenok/raw/19843.html,recipes_corpus/povarenok/text/19843.txt,367142,53975,4901,200
