rank,freq,zipf
673,1048,318.132
674,1048,317.66
675,1047,317.19
676,1047,316.72
677,1047,316.253
678,1047,315.786
679,1046,315.321
680,1046,314.857
681,1045,314.395
682,1045,313.934
683,1045,313.474
684,1045,313.016
685,1044,312.559
686,1044,312.103
687,1044,311.649
688,1044,311.196
689,1043,310.745
690,1043,310.294
691,1043,309.845
692,1043,309.397
693,1043,308.951
694,1042,308.506
695,1042,308.062
696,1042,307.619
697,1042,307.178
698,1041,306.738
699,1041,306.299
700,1040,305.861
701,1038,305.425
702,1038,304.99
703,1038,304.556
704,1038,304.124
705,1037,303.692
706,1036,303.262
707,1036,302.833
708,1036,302.405
709,1036,301.979
710,1036,301.554
711,1036,301.129
712,1035,300.706
713,1035,300.285
714,1034,299.864
715,1034,299.445
716,1033,299.027
717,1033,298.609
718,1032,298.194
719,1032,297.779
720,1032,297.365
721,1032,296.953
722,1032,296.542
723,1032,296.131
724,1032,295.722
725,1031,295.314
726,1031,294.908
727,1031,294.502
728,1030,294.098
729,1030,293.694
730,1029,293.292
731,1029,292.891
732,1029,292.49
733,1028,292.091
734,1028,291.693
735,1028,291.297
736,1028,290.901
737,1027,290.506
738,1027,290.112
739,1026,289.72
740,1026,289.328
741,1025,288.938
742,1024,288.549
743,1024,288.16
744,1024,287.773
745,1024,287.387
746,1024,287.001
747,1023,286.617
748,1022,286.234
749,1022,285.852
750,1022,285.471
751,1022,285.091
752,1022,284.711
753,1022,284.333
754,1022,283.956
755,1022,283.58
756,1021,283.205
757,1020,282.831
758,1020,282.458
759,1020,282.086
760,1020,281.714
761,1019,281.344
762,1019,280.975
763,1019,280.607
764,1018,280.24
765,1018,279.873
766,1018,279.508
767,1018,279.143
768,1018,278.78
769,1018,278.417
770,1018,278.056
771,1018,277.695
772,1017,277.335
773,1016,276.977
774,1016,276.619
775,1016,276.262
776,1016,275.906
777,1016,275.551
778,1015,275.197
779,1015,274.843
780,1015,274.491
781,1015,274.14
782,1015,273.789
783,1015,273.439
784,1015,273.091
785,1015,272.743
786,1014,272.396
787,1014,272.05
788,1014,271.704
789,1014,271.36
790,1014,271.016
791,1014,270.674
792,1014,270.332
793,1014,269.991
794,1014,269.651
795,1014,269.312
796,1014,268.974
797,1013,268.636
798,1013,268.299
799,1013,267.964
800,1013,267.629
801,1012,267.295
802,1012,266.961
803,1012,266.629
804,1012,266.297
805,1012,265.966
806,1011,265.636
807,1011,265.307
808,1011,264.979
809,1011,264.651
810,1011,264.325
811,1011,263.999
812,1011,263.674
813,1011,263.349
814,1011,263.026
815,1010,262.703
816,1010,262.381
817,1010,262.06
818,1010,261.74
819,1010,261.42
820,1010,261.101
821,1010,260.783
822,1009,260.466
823,1009,260.149
824,1009,259.834
825,1009,259.519
826,1009,259.205
827,1009,258.891
828,1009,258.579
829,1009,258.267
830,1009,257.955
831,1009,257.645
832,1009,257.335
833,1009,257.026
834,1008,256.718
835,1008,256.411
836,1008,256.104
837,1008,255.798
838,1008,255.493
839,1008,255.188
840,1008,254.885
841,1008,254.581
842,1008,254.279
843,1008,253.977
844,1008,253.677
845,1007,253.376
846,1007,253.077
847,1007,252.778
848,1007,252.48
849,1007,252.183
850,1007,251.886
851,1007,251.59
852,1007,251.295
853,1007,251
854,1007,250.706
855,1007,250.413
856,1007,250.12
857,1006,249.828
858,1006,249.537
859,1006,249.247
860,1006,248.957
861,1006,248.668
862,1006,248.379
863,1006,248.092
864,1006,247.804
865,1006,247.518
866,1006,247.232
867,1006,246.947
868,1006,246.662
869,1006,246.379
870,1006,246.095
871,1006,245.813
872,1006,245.531
873,1005,245.25
874,1005,244.969
875,1005,244.689
876,1005,244.41
877,1005,244.131
878,1005,243.853
879,1005,243.576
880,1005,243.299
881,1005,243.023
882,1005,242.747
883,1005,242.472
884,1005,242.198
885,1005,241.924
886,1005,241.651
887,1005,241.379
888,1004,241.107
889,1004,240.836
890,1004,240.565
891,1004,240.295
892,1004,240.026
893,1004,239.757
894,1004,239.489
895,1004,239.221
896,1004,238.954
897,1004,238.688
898,1004,238.422
899,1004,238.157
900,1004,237.892
901,1004,237.628
902,1004,237.365
903,1004,237.102
904,1004,236.84
905,1004,236.578
906,1004,236.317
907,1004,236.056
908,1004,235.796
909,1004,235.537
910,1004,235.278
911,1004,235.02
912,1004,234.762
913,1004,234.505
914,1004,234.248
915,1003,233.992
916,1003,233.737
917,1003,233.482
918,1003,233.228
919,1003,232.974
920,1003,232.721
921,1003,232.468
922,1003,232.216
923,1003,231.964
924,1003,231.713
925,1003,231.463
926,1003,231.213
927,1003,230.963
928,1003,230.714
929,1003,230.466
930,1003,230.218
931,1003,229.971
932,1003,229.724
933,1003,229.478
934,1003,229.232
935,1003,228.987
936,1003,228.743
937,1003,228.498
938,1003,228.255
939,1003,228.012
940,1002,227.769
941,1002,227.527
942,1002,227.286
943,1002,227.045
944,1002,226.804
945,1002,226.564
946,1002,226.325
947,1002,226.086
948,1002,225.847
949,1002,225.609
950,1002,225.372
951,1002,225.135
952,1002,224.898
953,1002,224.662
954,1002,224.427
